거래처(상호)	ASP ID	신청일자	비고
63번길이에프(2F)	beon-gil63		
고깃간무한리필	hanlove		
갈두천협동조합	galdu	2014-12.01	
나이스코리아	nikor	2014-10-24	
나이스코리아	nikor	2014-08-27	
나이스코리아	nikor	2026-06-23	
국방과학연구소복지위원회	add70361	2013-10-28	
대한불교조계종제6교구갑사	gapsa	2015-06-18	
(주)연합아이엔지	yosh9918	2019-07-12	
(재)대전광역시중소기업종합지원센터TJ마트시청점	tjcity12	2021-03-25	
디프런스커피	diffcafd		
시립장애인종합복지관	well01506		
한국원자력연구원노동조합	nuclear		
복수육류도매센터	domae6660		
에스케이씨하스복지센타	skchaas		
청평얼음꽃축제*2	iceflower		
