인덱스	필드명	데이터 타입	설명
1	SAUPNO	텍스트 (10) - PK	사업자번호
2	MERNAME	텍스트 (30)	가맹점명
3	PRESINAME	텍스트 (30)	대표자명
4	ADDR	텍스트 (70)	주소
5	ZIPNO	텍스트 (7)	우편번호
6	TELNO	텍스트 (15)	전화번호
7	REGIYMD	텍스트 (8)	등록일자
8	PRESIRATE	텍스트 (32)	업체유형/등급
9	DAMDANG	텍스트 (30)	관리담당자
10	BIGO	텍스트 (100)	비고
11	DELAYINFO	텍스트 (50)	연체정보
